Primary Gym,Fighter,Latitude,Longitude
Algeo MMA and Kickboxing,BILL ALGEO,40.0874907,-75.3986893
American Top Team,BO NICKAL,40.8689526,-77.7456626
Budokan Martial Arts Academy,RANDY BROWN,40.6528355,-73.6170273
Carolina Combat Sports and Fitness,BRYAN BATTLE,35.0740642,-80.6391374
Crazy 88 Brazilian Jiu jitsu,MATTHEW SEMELSBERGER,39.1968476,-76.7489376
Daddis Mixed Martial Arts Academy,JOSEPH LOWRY,39.9306126,-75.1865868
Dexter MMA,BILLY GOFF,41.3733201,-72.0463072
Fifty/50 Jiu-Jitsu Academy,RYAN HALL,38.8900871,-77.1843358
Ground Control Academy,TUCKER LUTZ,39.3191564,-76.5091447
Gym-O,JOE SOLECKI,35.2789267,-81.1328357
K-Dojo Warrior Tribe,AZAMAT MURZAKANOV,40.8800847,-74.2710456
Lloyd Irvin MMA,SODIQ YUSUFF,38.801892,-76.906711
Long Island MMA,"GREGOR GILLESPIE, BRIAN KELLEHER",40.7568596,-73.4030111
Longo And Weidman MMA,"NAZIM SADYKHOV, DENNIS BUZUKJA",40.7277136,-73.6186199
MMA Institute,DASHAWN BOATWRIGHT,37.5191484,-77.515586
MPR Endurance MMA,PAT SABATINI,40.1889348,-74.881505
Marquez MMA,"SEAN BRADY, JOE PYFER, PAT SABATINI, ANDRE PETROSKI",40.0089425,-75.0813276
Martinez BJJ,CHRIS DAUKAUS,40.0377769,-75.0416521
Port City Sports Performance,JAMIE PICKETT,34.2590134,-77.8429213
Renzo Gracie Philly,"JEREMIAH WELLS, SEAN BRADY, ANDRE PETROSKI",39.9843516,-75.137473
Serra Jiu-Jitsu,"CHRIS WEIDMAN, ALJAMAIN STERLING, MERAB DVALISHVILI, AL IAQUINTA",40.8284825,-73.4322704
Sussex County MMA,JIM MILLER,41.0751169,-74.6646075
Teixeira MMA & Fitness,ALEX PEREIRA,41.4166532,-73.390809
Tiger Schulmann's Mixed Martial Arts,"JULIO ARCE, LYMAN GOOD",40.9012251,-74.1158752
Underdog Mixed Martial Arts,CARLOS CANDELARIO,41.7378373,-72.7153577
Ricardo Almeida BJJ,"Frankie Edgar, Eddie Alvarez, TUF Champion Corey Anderson",40.2240536,-74.6076215
Kaizen MMA,"Many Pro Fighters, but not UFC",38.902244,-77.2056978
