School Name,URL,State,Address,Latitude,Longitude
Albertus Magnus College,http://albertus.edu,CT,"700 Prospect St, New Haven, CT 06511, USA",41.3315693,-72.9225714
Asnuntuck Community College,http://asnuntuck.edu,CT,"170 Elm St, Enfield, CT 06082, USA",41.9980974,-72.5713159
Connecticut College,http://conncoll.edu,CT,"270 Mohegan Ave Pkwy, New London, CT 06320, USA",41.3797826,-72.1079889
Eastern Connecticut State University,http://easternct.edu,CT,"83 Windham St, Willimantic, CT 06226, USA",41.7209067,-72.2183815
Fairfield University,http://fairfield.edu,CT,"1073 N Benson Rd, Fairfield, CT 06824, USA",41.158851,-73.2573876
Goodwin College,http://goodwin.edu,CT,"1 Riverside Dr, East Hartford, CT 06118, USA",41.7428742,-72.6402993
University of Hartford,http://hartford.edu,CT,"200 Bloomfield Ave, West Hartford, CT 06117, USA",41.7949001,-72.7157659
Hartford Seminary,http://hartsem.edu,CT,"77 Sherman St, Hartford, CT 06105, USA",41.7698825,-72.7077303
University of New Haven,http://newhaven.edu,CT,"300 Boston Post Rd, West Haven, CT 06516, USA",41.2925058,-72.9616977
Queens University of Charlotte,http://quinnipiac.edu,CT,"1900 Selwyn Ave, Charlotte, NC 28274, USA",35.188626,-80.8329724
Quinebaug Valley Community College,http://qvcc.edu,CT,"742 Upper Maple St, Danielson, CT 06239, USA",41.8247124,-71.8928326
Sacred Heart University,http://sacredheart.edu,CT,"5151 Park Ave, Fairfield, CT 06825, USA",41.2215512,-73.2414646
Southern Connecticut State University,http://southernct.edu,CT,"501 Crescent St, New Haven, CT 06515, USA",41.3318269,-72.9452722
Three Rivers Community College,http://threerivers.edu,CT,"574 New London Turnpike, Norwich, CT 06360, USA",41.5093032,-72.1030131
Trinity College,http://trincoll.edu,CT,"300 Summit St, Hartford, CT 06106, USA",41.7486373,-72.6928403
Tunxis Community College,http://tunxis.edu,CT,"271 Scott Swamp Rd, Farmington, CT 06032, USA",41.7053045,-72.8775784
University of Connecticut Health Center,http://uchc.edu,CT,"263 Farmington Ave, Farmington, CT 06030, USA",41.7344559,-72.7956006
University of Connecticut,http://uconn.edu,CT,"352 MANSFIELD RD, STORRS, CT 06269",41.8088143,-72.2498767
University of Saint Joseph Connecticut,http://usj.edu,CT,"1678 Asylum Ave, West Hartford, CT 06117, USA",41.7804004,-72.7313041
Western Connecticut State University,http://wcsu.edu,CT,"181 White St, Danbury, CT 06810, USA",41.3991459,-73.4447323
Wesleyan University,http://wesleyan.edu,CT,"45 Wyllys Ave, Middletown, CT 06459, USA",41.5567552,-72.6568341
Yale University,http://yale.edu,CT,"133 WALL ST, NEW HAVEN, CT 06511",41.3119537,-72.9285735
Anne Arundel Community College,http://aacc.edu,MD,"101 College Pkwy, Arnold, MD 21012, USA",39.049076,-76.5167656
Baltimore City Community College,http://bccc.edu,MD,"2901 Liberty Heights Ave, Baltimore, MD 21215, USA",39.3213714,-76.6637083
Bowie State University,http://bowiestate.edu,MD,"14000 Jericho Park Rd, Bowie, MD 20715, USA",39.0181217,-76.7597271
Carroll Community College,http://carrollcc.edu,MD,"1601 Washington Rd, Westminster, MD 21157, USA",39.5305828,-76.9915117
The Community College of Baltimore County,http://ccbcmd.edu,MD,"11101 McCormick Rd # 101, Hunt Valley, MD 21031, USA",39.4881769,-76.6567834
Chesapeake College,http://chesapeake.edu,MD,"1000 College Cir, Wye Mills, MD 21679, USA",38.9524186,-76.0812507
Coppin State University,http://coppin.edu,MD,"2500 W North Ave, Baltimore, MD 21216, USA",39.3130559,-76.6575601
College of Southern Maryland,http://csmd.edu,MD,"8730 Mitchell Rd, La Plata, MD 20646, USA",38.5604347,-77.0096824
Frederick Community College,http://frederick.edu,MD,"7932 Opossumtown Pike, Frederick, MD 21701, USA",39.4520857,-77.4185333
Frostburg State University,http://frostburg.edu,MD,"101 Braddock Rd, Frostburg, MD 21532, USA",39.6498765,-78.9345627
Garrett College,http://garrettcollege.edu,MD,"687 Mosser Rd, McHenry, MD 21541, USA",39.5618972,-79.3402189
Goucher College,http://goucher.edu,MD,"1021 Dulaney Valley Rd, Baltimore, MD 21204, USA",39.4098751,-76.5956424
Hagerstown Community  College,http://hagerstowncc.edu,MD,"11400 Robinwood Dr, Hagerstown, MD 21742, USA",39.6301544,-77.6673476
Harford Community College,http://harford.edu,MD,"401 Thomas Run Rd, Bel Air, MD 21015, USA",39.5587983,-76.2842133
Hood College,http://hood.edu,MD,"401 Rosemont Ave, Frederick, MD 21701, USA",39.4221419,-77.4204415
Howard Community College,http://howardcc.edu,MD,"10901 Little Patuxent Pkwy, Columbia, MD 21044, USA",39.2140693,-76.8888023
Johns Hopkins Bloomberg School of Public Health,http://jhsph.edu,MD,"615 N Wolfe St, Baltimore, MD 21205, USA",39.2979466,-76.5901942
Johns Hopkins University,http://jhu.edu,MD,"3400 N CHARLES ST, BALTIMORE, MD 21218",39.3272831,-76.6195475
Loyola University Maryland,http://loyola.edu,MD,"4501 N Charles St, Baltimore, MD 21210, USA",39.3461942,-76.62138
Montgomery Blair High School,http://mbhs.edu,MD,"51 University Blvd E, Silver Spring, MD 20901, USA",39.0182755,-77.0123645
McDaniel College,http://mcdaniel.edu,MD,"2 College Hill, Westminster, MD 21157, USA",39.5844046,-77.0007901
Maryland Institute College of Art,http://mica.edu,MD,"1300 MOUNT ROYAL AVE, BALTIMORE, MD 21217",39.3074853,-76.6216858
Montgomery College,http://montgomerycollege.edu,MD,"51 MANNAKEE ST, ROCKVILLE, MD 20850",39.0978131,-77.1569211
Mount Saint Mary's University,http://msmary.edu,MD,"16300 OLD EMMITSBURG RD, EMMITSBURG, MD 21727",39.6833769,-77.350925
Maryland University of Integrative Health,http://muih.edu,MD,"7750 Montpelier Rd, Laurel, MD 20723, USA",39.1658659,-76.8880397
Prince George's Community College,http://pgcc.edu,MD,"301 Largo Rd, Largo, MD 20774",38.8881475,-76.8254824
Salisbury University,http://salisbury.edu,MD,"1101 Camden Ave, Salisbury, MD 21801, USA",38.346007,-75.608042
