Fighter,Link,City,State,Primary Gym,Primary Gym Address,Primary Gym City,Primary Gym State,Full Address,Latitude,Longitude
ALEX PEREIRA,https://www.tapology.com/fightcenter/fighters/117305-alex-pereira,Bethel,Connecticut,Teixeira MMA & Fitness,32 Stony Hill Road,Bethel,Connecticut,32 Stony Hill Road Bethel Connecticut ,41.4166532,-73.390809
BILLY GOFF,https://www.tapology.com/fightcenter/fighters/169724-billy-goff,Groton,Connecticut,Dexter MMA,1083 Buddington Rd,Groton,Connecticut,1083 Buddington Rd Groton Connecticut ,41.3733201,-72.0463072
CARLOS CANDELARIO,https://www.tapology.com/fightcenter/fighters/24551-carlos-candelori,West Hartford,Connecticut,Underdog Mixed Martial Arts,23 Andover Drive,West Hartford,Connecticut,23 Andover Drive West Hartford Connecticut ,41.7378373,-72.7153577
MATTHEW SEMELSBERGER,https://www.tapology.com/fightcenter/fighters/98220-matthew-semelsberger,Frederick,Maryland,Crazy 88 Brazilian Jiu jitsu,"7024 Troy Hill Drive, Suite L",Elkridge,Maryland,"7024 Troy Hill Drive, Suite L Elkridge Maryland ",39.1968476,-76.7489376
SODIQ YUSUFF,https://www.tapology.com/fightcenter/fighters/58362-sodiq-yusuff,New Carrollton,Maryland,Lloyd Irvin MMA,6333 Old Branch Ave # 302,Camp Springs,Maryland,6333 Old Branch Ave # 302 Camp Springs Maryland ,38.801892,-76.906711
TUCKER LUTZ,https://www.tapology.com/fightcenter/fighters/39248-tucker-lutz,Reisterstown,Maryland,Ground Control Academy,8101 Pulaski Hwy,Rosedale,Maryland,8101 Pulaski Hwy Rosedale Maryland ,39.3191564,-76.5091447
STEPHEN REGMAN,https://www.tapology.com/fightcenter/fighters/28584-stephen-regman,Brick,New Jersey,None,None,None,None,,,
JULIO ARCE,https://www.tapology.com/fightcenter/fighters/30552-julio-arce,Elmwood Park,New Jersey,Tiger Schulmann's Mixed Martial Arts,485 Mola Boulevard,Elmwood Park,New Jersey,485 Mola Boulevard Elmwood Park New Jersey ,40.9012251,-74.1158752
AZAMAT MURZAKANOV,https://www.tapology.com/fightcenter/fighters/93373-azamat-murzakanov,Fairfield,New Jersey,K-Dojo Warrior Tribe,264 Passaic Ave,Fairfield,New Jersey,264 Passaic Ave Fairfield New Jersey ,40.8800847,-74.2710456
JIM MILLER,https://www.tapology.com/fightcenter/fighters/jim-miller,Whippany,New Jersey,Sussex County MMA,22 Gail Ct,Sparta,New Jersey,22 Gail Ct Sparta New Jersey ,41.0751169,-74.6646075
CHRIS WEIDMAN,https://www.tapology.com/fightcenter/fighters/chris-weidman,Baldwin,New York,Serra Jiu-Jitsu,365 W Jericho Tpke,Huntington,New York,365 W Jericho Tpke Huntington New York ,40.8284825,-73.4322704
NAZIM SADYKHOV,https://www.tapology.com/fightcenter/fighters/135516-nazim-sadykhov,Brooklyn,New York,Longo And Weidman MMA,1 Commercial Ave,Garden City,New York,1 Commercial Ave Garden City New York ,40.7277136,-73.6186199
ALJAMAIN STERLING,https://www.tapology.com/fightcenter/fighters/aljamain-sterling,Cortland,New York,Serra Jiu-Jitsu,365 W Jericho Tpke,Huntington,New York,365 W Jericho Tpke Huntington New York ,40.8284825,-73.4322704
MERAB DVALISHVILI,https://www.tapology.com/fightcenter/fighters/47934-merab-dvalishvili,Garden City Park,New York,Serra Jiu-Jitsu,365 W Jericho Tpke,Huntington,New York,365 W Jericho Tpke Huntington New York ,40.8284825,-73.4322704
AL IAQUINTA,https://www.tapology.com/fightcenter/fighters/15047-al-iaquinta,Long Island,New York,Serra Jiu-Jitsu,365 W Jericho Tpke,Huntington,New York,365 W Jericho Tpke Huntington New York ,40.8284825,-73.4322704
GREGOR GILLESPIE,https://www.tapology.com/fightcenter/fighters/33830-gregor-gillespie,Long Island,New York,Long Island MMA,590 Smith St,Farmingdale,New York,590 Smith St Farmingdale New York ,40.7568596,-73.4030111
LYMAN GOOD,https://www.tapology.com/fightcenter/fighters/lyman-good-cyborg,New York City,New York,Tiger Schulmann's Mixed Martial Arts,485 Mola Boulevard,Elmwood Park,New Jersey,485 Mola Boulevard Elmwood Park New Jersey ,40.9012251,-74.1158752
RANDY BROWN,https://www.tapology.com/fightcenter/fighters/21348-randall-brown-rude-boy,Queens,New York,Budokan Martial Arts Academy,650 Merrick Rd,Baldwin,New York,650 Merrick Rd Baldwin New York ,40.6528355,-73.6170273
JARED GORDON,https://www.tapology.com/fightcenter/fighters/17754-jared-gordon,Queens,New York,Renzo Gracie Academy,224 West 30th Street,New York,New York,224 West 30th Street New York New York ,40.7488234,-73.9937487
BRIAN KELLEHER,https://www.tapology.com/fightcenter/fighters/13751-Brian-Kelleher,Selden,New York,Long Island MMA,590 Smith St,Farmingdale,New York,590 Smith St Farmingdale New York ,40.7568596,-73.4030111
DENNIS BUZUKJA,https://www.tapology.com/fightcenter/fighters/131561-dennis-buzukia,Staten Island,New York,Longo And Weidman MMA,1 Commercial Ave,Garden City,New York,1 Commercial Ave Garden City New York ,40.7277136,-73.6186199
