Fighter,Links
ABDUL RAZAK ALHASSAN,['https://www.tapology.com/fightcenter/fighters/59306-abdul-razak-alhassan']
JESSE BUTLER,"['https://www.tapology.com/fightcenter/fighters/39845-jessie-butler', 'https://www.tapology.com/fightcenter/fighters/211817-jesse-butler']"
KELVIN GASTELUM,['https://www.tapology.com/fightcenter/fighters/41355-kelvin-gastelum']
CHRIS GUTIERREZ,"['https://www.tapology.com/fightcenter/fighters/34369-chris-gutierrez', 'https://www.tapology.com/fightcenter/fighters/38976-chris-gutierrez', 'https://www.tapology.com/fightcenter/fighters/47386-chris-gutierrez', 'https://www.tapology.com/fightcenter/fighters/80470-christopher-gutierrez', 'https://www.tapology.com/fightcenter/fighters/173020-christian1-gutierrez']"
VICTOR HENRY,"['https://www.tapology.com/fightcenter/fighters/29255-victor-henry', 'https://www.tapology.com/fightcenter/fighters/326375-henry-cavalcante']"
BRYAN BARBERENA,['https://www.tapology.com/fightcenter/fighters/16876-bryan-barberena']
ALEXANDER HERNANDEZ,"['https://www.tapology.com/fightcenter/fighters/46253-alexander-hernandez', 'https://www.tapology.com/fightcenter/fighters/376129-alexander-hernandez', 'https://www.tapology.com/fightcenter/fighters/297029-alexander-hernandez', 'https://www.tapology.com/fightcenter/fighters/404505-alexander-hernandez', 'https://www.tapology.com/fightcenter/fighters/205201-joseph-alexander-hernandez-twinkle-fingers']"
JOE LAUZON,['https://www.tapology.com/fightcenter/fighters/joe-lauzon-j-lau']
NEIL MAGNY,['https://www.tapology.com/fightcenter/fighters/16456-aoutneil-magny']
TERRENCE MITCHELL,['https://www.tapology.com/fightcenter/fighters/43175-terrence-mitchell']
ANDRE PETROSKI,['https://www.tapology.com/fightcenter/fighters/123353-andre-petroski']
ZACHARY REESE,['https://www.tapology.com/fightcenter/fighters/35756-zack-reese']
RYAN SPANN,['https://www.tapology.com/fightcenter/fighters/20908-ryan-spann']
PETER PETTIES,['https://www.tapology.com/fightcenter/fighters/62070-peter-petties']
BO NICKAL,['https://www.tapology.com/fightcenter/fighters/244627-bo-nickal']
MATT FREVOLA,['https://www.tapology.com/fightcenter/fighters/83149-matt-frevola']
CALVIN KATTAR,['https://www.tapology.com/fightcenter/fighters/calvin-kattar-the-boston-finisher']
